num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe,total,gender
158,3,99,120,114,70,49.5,50,49,48.5,49.5,60,709.5,女
442,7,107,120,118.5,68.6,43,49,48.5,48.5,49,56,708.1,男
249,4,98,120,116,70,47.5,47,49,47.5,49,60,704,男
573,9,102,113,111.5,70,47,49,49,49,49.5,60,700,女
310,5,103,120,111.5,70,44.75,46.5,48,48,48,60,699.75,女
613,10,98,120,113,70,46.75,47.5,47.5,47,48.5,60,698.25,男
502,8,99.5,120,113.5,68.6,45.75,46.5,47.5,47.5,48,60,696.85,女
115,2,95.5,117,115.5,70,47.25,50,48,48,48.5,56,695.75,女
298,5,101.5,120,109,64.4,47.25,49,48.5,47.5,49,56,692.15,男
531,9,100,118,114,66.5,49.5,47.5,48.5,46.5,49.5,52,692,男
266,5,99,118,112,67.9,46.5,49,49,46,47.5,56,690.9,男
166,3,87.5,120,112.5,70,49.5,46,49,47.5,48,60,690,男
511,8,98.5,119,111.5,,45.5,46.5,48,48.5,48.5,56,689.9,男
495,8,104,117,108,,47.25,47,47,47.5,47.5,56,689.85,女
452,8,100,119,106,,46.5,46.5,48,48,49.5,60,689.3,男
276,5,96,118,110.5,,49.75,48,48,48,47.5,56,688.25,男
12,1,92.5,120,116,,47.75,46.5,46,49,48,52,686.35,女
228,4,98.5,119,111.5,,46,48.5,44.5,44.5,48,60,686.3,女
201,4,,118,109.5,,48.25,47,48.5,47.5,47,56,685.95,女
592,10,,120,104.5,,49,49,47,43.5,47,60,685.8,女
100,2,,115,109,,43.75,47.5,47.5,47.5,48.5,60,685.25,男
117,2,93,120,111,,46,48,48.5,46,47,56,684.8,男
379,6,100.5,120,112.5,70,46.75,44.5,45.5,45,48,52,684.75,男
255,4,103,118,107,69.3,45.5,44.5,46.5,44.5,49.5,56,683.8,女
490,8,90.5,116,115.5,69.3,47.25,44.5,47,48,49,56,683.05,女
465,8,95,117,108.5,67.9,48,48,47.5,46,48,56,681.9,女
354,6,100,120,106,67.9,49.5,50,46.5,45.5,48,48,681.4,女
342,6,102.5,118,107.5,69.3,43.25,44.5,46,47,47,56,681.05,女
394,7,92.5,120,109,65.1,44.5,49,47.5,47,49,56,679.6,女
20,1,91.5,115,115.5,67.2,43,45,48.5,48.5,48.5,56,678.7,女
76,2,90.5,113,107.5,69.3,43.5,48,48,46.5,49,60,675.3,女
181,3,,112,108,66.5,42.25,50,47,47,48,56,674.75,男
236,4,,117,108.5,64.4,47.5,49,45.5,47,47,60,674.4,男
384,6,,120,110,67.2,41.25,46.5,44.5,43.5,47,56,673.45,男
54,1,,107,113.5,67.2,45,44.5,48,47.5,49,56,672.7,女
644,8,86,120,110.5,67.9,46.75,45.5,48.5,46,48.5,52,671.65,男
437,7,90,116,107,65.1,45.5,46,47.5,46.5,47.5,60,671.1,男
504,8,97.5,118,101,65.8,48,46,44.5,47,47,56,670.8,女
618,10,101.5,117,101,66.5,43.25,50,47.5,43,49,52,670.75,女
654,9,99.5,108,106.5,67.2,43.25,46.5,47.5,48,48,56,670.45,男
630,10,100,112,107.5,68.6,46.75,45,48,43,47.5,52,670.35,女
615,10,90.5,120,112,,47,46,48,42,45.5,52,670.2,男
68,2,87.5,113,107.5,,44.75,47.5,47.5,49,48,56,670.05,女
133,3,90.5,118,105,,48.25,46.5,45.5,45.5,46,56,669.85,女
247,4,98.5,108,103,,47,46.5,43.5,46.5,47.5,60,669.1,女
498,8,92,114,108.5,,47.75,45.5,46,48,47,52,668.65,女
633,10,93.5,116,113.5,,45.75,49,48,43.5,48.5,48,668.05,
352,6,97.5,118,110,63.7,47,45.5,45,38,47,56,667.7,
587,10,85,116,105.5,68.6,47,49,45,46.5,48.5,56,667.1,
461,8,92,120,111.5,67.2,45.25,44.5,45.5,45.5,47.5,48,666.95,
400,7,80,120,111.5,68.6,45.75,44.5,46.5,47,47,56,666.85,男
265,5,89.5,116,106.5,66.5,43,46.5,47,43.5,48,60,666.5,男
638,10,97,115,107.5,63.7,43.75,49,45.5,42,47,56,666.45,男
364,6,98,111,107.5,69.3,44.5,46,47,44.5,46.5,52,666.3,男
462,8,89,117,101,67.2,47,44,46.5,45.5,48.5,60,665.7,男
362,6,100.5,118,102,67.9,41.25,44.5,44,44,47.5,56,665.65,女
290,5,100,109,102.5,64.4,45.25,47.5,48.5,46.5,46,56,665.65,女
506,8,83,120,106,63,48.5,49,45,47.5,47.5,56,665.5,女
416,7,95,116,109,60.9,42,48,48,45,49.5,52,665.4,女
267,5,94.5,109,112,64.4,49,46.5,44,45,48.5,52,664.9,女
50,1,96.5,107,114,65.1,47.25,46.5,46,45,45.5,52,664.85,女
549,9,84,119,105,69.3,45,46,47.5,44.5,48,56,664.3,女
113,2,84.5,115,105.5,67.9,48.75,46,45.5,46.5,48.5,56,664.15,男
297,5,98.5,112,107,65.1,40.75,45.5,46,43,45.5,60,663.35,男
79,2,83.5,117,108.5,67.9,47.25,47.5,45,45,48,52,661.65,男
355,6,95,117,108.5,62.3,41.25,48,44.5,42,47,56,661.55,女
545,9,92,118,101.5,63.7,45.75,46,49,42,47.5,56,661.45,男
161,3,88,117,106.5,69.3,44,45,47.5,41.5,46.5,56,661.3,男
7,1,82.5,109,111.5,68.6,47,43.5,48,46,44.5,60,660.6,女
