书名,作者,定价,评分,评价人数
中国历代政治得失,钱穆,12.00元,9.2,75146人评价
卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский),CNY 78.00元,9.6,37578人评价
白鹿原: 20周年精装典藏版,陈忠实,39.00元,9.2,111815人评价
局外人,[法] 阿尔贝·加缪,22.00元,9.1,246519人评价
乡土中国,费孝通,38.00元,9.2,94124人评价
彷徨,鲁迅,0.37元,9.3,67492人评价
我与地坛: 史铁生代表作,史铁生,25.00元,9.2,113315人评价
人类简史: 从动物到上帝,[以色列] 尤瓦尔·赫拉利,68.00元,9.1,202971人评价
罗杰疑案: 阿加莎·克里斯蒂作品02,[英] 阿加莎·克里斯蒂,28.00元,9.2,79228人评价
平凡的世界（全三部）,路遥,64.00元,9.0,327882人评价
许三观卖血记,余华,24.00元,9.2,172176人评价
围城,钱锺书,19.00元,9.0,450427人评价
笑傲江湖（全四册）,金庸,76.80元,9.1,113242人评价
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,36.00元,9.1,115250人评价
东方快车谋杀案,[英] 阿加莎·克里斯蒂,18.00元,9.1,142312人评价
肖申克的救赎,[美] 斯蒂芬·金,29.90元,9.1,123283人评价
江城,[美] 彼得·海斯勒,36.00元,9.1,65021人评价
故事新编,鲁迅,0.31 元,9.5,45072人评价
城南旧事: 纪念普及版,林海音 文,16.00元,9.1,160428人评价
基督山伯爵,[法国] 大仲马,43.90元,9.1,131085人评价
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,39.50元,9.0,291366人评价
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),280.00元,9.6,27008人评价
朝花夕拾,鲁迅,0.25元,9.1,158631人评价
万历十五年,[美] 黄仁宇,18.00元,9.0,205418人评价
秋园,杨本芬,38.00元,9.0,117942人评价
射雕英雄传,金庸,47.00元,9.1,87058人评价
月亮和六便士,[英] 毛姆,15.00元,9.0,213138人评价
置身事内: 中国政府与经济发展,兰小欢,65.00元,9.1,86009人评价
厌女: 日本的女性嫌恶,上野千鹤子,28.00元,9.1,85380人评价
追风筝的人,[美] 卡勒德·胡赛尼,29.00元,8.9,801785人评价
