股票编号,名称,最新价,最高价,最低价
sh600000,浦发银行,9.740,9.820,9.660
sh600004,白云机场,10.070,10.150,10.010
sh600006,东风股份,8.340,8.340,8.340
sh600007,中国国贸,22.420,22.750,22.400
sh600008,首创环保,3.510,3.590,3.510
sh600009,上海机场,36.790,37.090,36.460
sh600010,包钢股份,2.100,2.150,2.070
sh600011,华能国际,7.360,7.430,7.290
sh600012,皖通高速,13.760,13.940,13.680
sh600015,华夏银行,7.120,7.210,7.090
sh600016,民生银行,3.920,3.960,3.910
sh600017,日照港,3.200,3.230,3.180
sh600018,上港集团,5.990,6.070,5.980
sh600019,宝钢股份,6.710,6.760,6.670
sh600020,中原高速,4.250,4.300,4.230
sh600021,上海电力,10.290,10.420,10.230
sh600022,山东钢铁,1.620,1.660,1.610
sh600023,浙能电力,5.900,5.970,5.880
sh600025,华能水电,9.630,9.780,9.620
sh600026,中远海能,13.050,13.260,12.870
sh600027,华电国际,5.720,5.760,5.690
sh600028,中国石化,6.210,6.260,6.200
sh600029,南方航空,6.190,6.230,6.130
sh600030,中信证券,34.300,35.100,34.180
sh600031,三一重工,18.550,18.830,18.510
sh600032,浙江新能,8.390,8.520,8.360
sh600033,福建高速,3.560,3.590,3.550
sh600035,楚天高速,4.280,4.310,4.250
sh600036,招商银行,38.160,38.840,37.890
sh600037,歌华有线,7.560,7.680,7.520
sh600038,中直股份,44.010,45.660,43.910
sh600039,四川路桥,7.770,7.870,7.730
sh600048,保利发展,10.920,11.070,10.810
sh600050,中国联通,5.160,5.210,5.150
sh600051,宁波联合,6.790,6.790,6.700
sh600052,东望时代,5.150,5.150,4.880
sh600053,九鼎投资,17.200,17.640,17.130
sh600054,黄山旅游,12.120,12.200,12.050
sh600055,万东医疗,17.710,18.110,16.640
sh600056,中国医药,13.110,13.110,11.840
sh600057,厦门象屿,6.150,6.200,6.030
sh600058,五矿发展,7.830,7.920,7.750
sh600059,古越龙山,9.270,9.350,9.250
sh600060,海信视像,21.600,21.850,21.080
sh600061,国投资本,8.230,8.360,8.220
sh600062,华润双鹤,22.100,22.350,21.460
sh600063,皖维高新,4.200,4.230,4.170
sh600064,南京高科,8.140,8.230,8.090
sh600066,宇通客车,23.490,24.230,23.200
sh600067,冠城大通,3.210,3.290,3.160
sh600070,*ST富润,2.030,2.030,2.030
sh600071,凤凰光学,25.690,26.480,25.340
sh600072,中船科技,14.590,14.860,14.580
sh600073,光明肉业,7.240,7.260,7.180
sh600075,新疆天业,4.600,4.640,4.590
sh600076,康欣新材,2.320,2.380,2.270
sh600078,澄星股份,6.970,7.120,6.950
sh600079,人福医药,22.410,22.650,21.720
sh600080,金花股份,7.020,7.080,6.890
sh600081,东风科技,11.790,11.980,11.290
sh600082,海泰发展,3.100,3.140,3.020
sh600083,*ST博信,2.370,2.590,2.360
sh600084,中信尼雅,6.430,6.660,6.290
sh600085,同仁堂,43.370,44.260,42.780
sh600088,中视传媒,18.680,19.380,18.660
sh600089,特变电工,14.710,14.820,14.510
sh600094,大名城,4.050,4.140,3.950
sh600095,湘财股份,8.070,8.170,8.050
sh600096,云天化,23.410,23.550,23.010
sh600097,开创国际,9.670,9.750,9.510
sh600098,广州发展,6.550,6.590,6.520
sh600099,林海股份,9.950,10.150,9.900
sh600100,同方股份,8.410,8.690,8.380
sh600101,明星电力,10.100,10.300,9.920
sh600103,青山纸业,2.340,2.370,2.320
sh600104,上汽集团,14.860,14.970,14.150
sh600105,永鼎股份,5.200,5.390,5.180
sh600106,重庆路桥,7.180,7.340,7.130
sh600107,美尔雅,5.880,5.990,5.750
sh600108,亚盛集团,2.970,2.980,2.940
sh600109,国金证券,9.760,9.940,9.740
sh600110,诺德股份,4.800,5.100,4.770
sh600111,北方稀土,25.720,26.170,25.540
sh600113,浙江东日,12.960,13.150,12.350
sh600114,东睦股份,18.160,18.790,18.110
sh600115,中国东航,4.000,4.030,3.970
sh600116,三峡水利,7.470,7.530,7.430
sh600117,西宁特钢,2.840,2.870,2.830
sh600118,中国卫星,31.190,32.930,30.800
sh600119,长江投资,8.280,8.400,8.200
sh600120,浙江东方,5.060,5.190,5.050
sh600121,郑州煤电,5.070,5.250,4.910
sh600123,兰花科创,8.840,8.920,8.770
sh600125,铁龙物流,6.260,6.290,6.200
sh600126,杭钢股份,4.410,4.530,4.230
sh600127,金健米业,7.300,7.360,7.270
sh600128,苏豪弘业,8.330,8.350,8.230
sh600129,太极集团,29.000,29.490,28.400
sh600130,波导股份,6.200,6.280,6.000
sh600131,国网信通,23.820,25.060,23.690
sh600132,重庆啤酒,65.100,66.450,64.670
sh600133,东湖高新,12.280,12.670,12.260
sh600135,乐凯胶片,7.190,7.250,7.070
sh600136,ST明诚,2.050,2.050,2.050
sh600137,浪莎股份,15.500,15.580,15.160
sh600138,中青旅,10.690,10.730,10.540
sh600141,兴发集团,24.880,25.340,24.760
sh600143,金发科技,9.000,9.110,8.910
sh600148,长春一东,20.440,20.600,19.230
sh600149,廊坊发展,5.160,5.200,5.070
sh600150,中国船舶,37.180,37.790,37.150
sh600151,航天机电,9.190,9.250,8.900
sh600152,维科技术,6.940,7.200,6.930
sh600153,建发股份,9.920,9.940,9.740
sh600155,华创云信,8.360,8.460,8.340
sh600156,华升股份,4.930,4.980,4.860
sh600157,永泰能源,1.680,1.750,1.660
sh600158,中体产业,8.490,8.610,8.490
sh600159,大龙地产,2.940,2.960,2.880
sh600160,巨化股份,22.620,22.860,22.420
