日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,
2019-06-21 00:00:00,'603088,宁波精达,10.48,10.58,10.39,10.39,10.3,0.18,1.7476,1.5839,2483584,26027542,1643264000,1643264000,
2019-06-20 00:00:00,'603088,宁波精达,10.3,10.37,10.15,10.3,10.26,0.04,0.3899,0.9977,1564402,16059642,1615040000,1615040000,
2019-06-19 00:00:00,'603088,宁波精达,10.26,10.58,10.26,10.4,10.28,-0.02,-0.1946,1.0501,1646600,17071060,1608768000,1608768000,
2019-06-18 00:00:00,'603088,宁波精达,10.28,10.4,10.21,10.21,10.31,-0.03,-0.291,0.5984,938264,9652814,1611904000,1611904000,
2019-06-17 00:00:00,'603088,宁波精达,10.31,10.37,10.11,10.18,10.19,0.12,1.1776,0.8792,1378619,14186783,1616608000,1616608000,
2019-06-14 00:00:00,'603088,宁波精达,10.19,10.67,10.1,10.57,10.73,-0.54,-5.0326,2.1348,3347367,34553523,1597792000,1597792000,
2019-06-13 00:00:00,'603088,DR宁波精,10.73,11.22,10.4,10.55,10.52,0.21,1.9962,2.4121,3782231,40434632,1682464000,1682464000,
2019-06-12 00:00:00,'603088,宁波精达,15.05,15.25,14.84,14.89,14.95,0.1,0.6689,1.8825,2108399,31729272,1685600000,1685600000,
2019-06-11 00:00:00,'603088,宁波精达,14.95,15.08,14.51,14.7,14.6,0.35,2.3973,1.8761,2101220,31116307,1674400000,1674400000,
2019-06-10 00:00:00,'603088,宁波精达,14.6,14.75,14.23,14.3,14.32,0.28,1.9553,1.172,1312589,19123107,1635200000,1635200000,
2019-06-06 00:00:00,'603088,宁波精达,14.32,14.99,14.18,14.96,14.97,-0.65,-4.342,1.7536,1964022,28362907,1603840000,1603840000,
2019-06-05 00:00:00,'603088,宁波精达,14.97,15.38,14.71,14.72,14.75,0.22,1.4915,2.0859,2336196,35091948,1676640000,1676640000,
2019-06-04 00:00:00,'603088,宁波精达,14.75,14.79,14.51,14.79,14.59,0.16,1.0966,1.4055,1574200,23065117,1652000000,1652000000,
2019-06-03 00:00:00,'603088,宁波精达,14.59,14.65,14.32,14.55,14.49,0.1,0.6901,1.3768,1542023,22326908,1634080000,1634080000,
2019-05-31 00:00:00,'603088,宁波精达,14.49,14.97,14.38,14.64,14.63,-0.14,-0.9569,1.6754,1876439,27476438,1622880000,1622880000,
2019-05-30 00:00:00,'603088,宁波精达,14.63,14.63,14.17,14.39,14.48,0.15,1.0359,1.3411,1502027,21648788,1638560000,1638560000,
2019-05-29 00:00:00,'603088,宁波精达,14.48,14.69,13.95,14.02,14.04,0.44,3.1339,1.6928,1895939,27349635,1621760000,1621760000,
2019-05-28 00:00:00,'603088,宁波精达,14.04,14.29,13.95,14.01,14.1,-0.06,-0.4255,1.0665,1194452,16852714,1572480000,1572480000,
2019-05-27 00:00:00,'603088,宁波精达,14.1,14.13,13.52,13.76,13.7,0.4,2.9197,1.1637,1303364,18144886,1579200000,1579200000,
2019-05-24 00:00:00,'603088,宁波精达,13.7,13.75,13.4,13.58,13.58,0.12,0.8837,0.9565,1071328,14520358,1534400000,1534400000,
2019-05-23 00:00:00,'603088,宁波精达,13.58,13.9,13.43,13.87,13.87,-0.29,-2.0908,0.6417,718743,9829116,1520960000,1520960000,
2019-05-22 00:00:00,'603088,宁波精达,13.87,14.05,13.7,13.96,13.85,0.02,0.1444,0.8566,959380,13300943,1553440000,1553440000,
2019-05-21 00:00:00,'603088,宁波精达,13.85,14.1,13.59,13.7,13.7,0.15,1.0949,1.239,1387718,19274525,1551200000,1551200000,
2019-05-20 00:00:00,'603088,宁波精达,13.7,13.72,13.22,13.5,13.48,0.22,1.632,0.9699,1086268,14679207,1534400000,1534400000,
2019-05-17 00:00:00,'603088,宁波精达,13.48,14.1,13.48,13.98,13.98,-0.5,-3.5765,1.159,1298032,17904188,1509760000,1509760000,
2019-05-16 00:00:00,'603088,宁波精达,13.98,14.05,13.75,13.92,13.89,0.09,0.6479,1.0373,1161727,16181279,1565760000,1565760000,
2019-05-15 00:00:00,'603088,宁波精达,13.89,13.98,13.62,13.62,13.58,0.31,2.2828,1.0683,1196463,16577638,1555680000,1555680000,
2019-05-14 00:00:00,'603088,宁波精达,13.58,13.82,13.45,13.57,13.78,-0.2,-1.4514,0.9472,1060860,14476339,1520960000,1520960000,
2019-05-13 00:00:00,'603088,宁波精达,13.78,13.84,13.18,13.3,13.53,0.25,1.8477,1.634,1830065,24909971,1543360000,1543360000,
2019-05-10 00:00:00,'603088,宁波精达,13.53,13.59,12.9,13.1,13.04,0.49,3.7577,1.6902,1893020,25271421,1515360000,1515360000,
2019-05-09 00:00:00,'603088,宁波精达,13.04,13.25,12.85,13.18,12.97,0.07,0.5397,0.9772,1094431,14302466,1460480000,1460480000,
2019-05-08 00:00:00,'603088,宁波精达,12.97,13.27,12.63,12.87,13.13,-0.16,-1.2186,1.2179,1364077,17805962,1452640000,1452640000,
2019-05-07 00:00:00,'603088,宁波精达,13.13,13.45,12.72,13.13,12.93,0.2,1.5468,1.1738,1314691,17111435,1470560000,1470560000,
2019-05-06 00:00:00,'603088,宁波精达,12.93,14.15,12.88,14.15,14.31,-1.38,-9.6436,1.8201,2038460,27402593,1448160000,1448160000,
2019-04-30 00:00:00,'603088,宁波精达,14.31,14.47,14.09,14.09,14.09,0.22,1.5614,0.9764,1093531,15665716,1602720000,1602720000,
2019-04-29 00:00:00,'603088,宁波精达,14.09,14.57,13.98,14.28,14.44,-0.35,-2.4238,1.5553,1741968,24887502,1578080000,1578080000,
2019-04-26 00:00:00,'603088,宁波精达,14.44,14.97,14.42,14.56,14.43,0.01,0.0693,2.0442,2289486,33558525,1617280000,1617280000,
2019-04-25 00:00:00,'603088,宁波精达,14.43,15.39,14.38,15.37,15.41,-0.98,-6.3595,2.3342,2614321,39017698,1616160000,1616160000,
2019-04-24 00:00:00,'603088,宁波精达,15.41,15.94,15.04,15.61,15.82,-0.41,-2.5917,3.39,3796778,58367416,1725920000,1725920000,
2019-04-23 00:00:00,'603088,宁波精达,15.82,16.67,15.37,15.89,15.72,0.1,0.6361,5.4666,6122582,97594450,1771840000,1771840000,
2019-04-22 00:00:00,'603088,宁波精达,15.72,15.94,15.15,15.3,15.15,0.57,3.7624,3.9558,4430477,68897390,1760640000,1760640000,
2019-04-19 00:00:00,'603088,宁波精达,15.15,15.34,14.9,15.34,15.34,-0.19,-1.2386,2.6437,2960897,44760023,1696800000,1696800000,
2019-04-18 00:00:00,'603088,宁波精达,15.34,15.63,14.61,14.61,14.73,0.61,4.1412,3.6221,4056763,61625796,1718080000,1718080000,
2019-04-17 00:00:00,'603088,宁波精达,14.73,14.98,14.42,14.59,14.49,0.24,1.6563,2.0309,2274633,33635759,1649760000,1649760000,
2019-04-16 00:00:00,'603088,宁波精达,14.49,14.54,13.92,14.2,14.2,0.29,2.0423,1.3923,1559351,22191169,1622880000,1622880000,
2019-04-15 00:00:00,'603088,宁波精达,14.2,14.63,13.5,14.45,14.42,-0.22,-1.5257,1.2267,1373900,19907221,1590400000,1590400000,
2019-04-12 00:00:00,'603088,宁波精达,14.42,14.5,14.26,14.42,14.42,0,0,0.9384,1051049,15138081,1615040000,1615040000,
2019-04-11 00:00:00,'603088,宁波精达,14.42,14.72,14.35,14.66,14.64,-0.22,-1.5027,1.3088,1465880,21231144,1615040000,1615040000,
2019-04-10 00:00:00,'603088,宁波精达,14.64,14.79,14.55,14.6,14.77,-0.13,-0.8802,1.6482,1846038,27018839,1639680000,1639680000,
2019-04-09 00:00:00,'603088,宁波精达,14.77,14.8,14.28,14.52,14.39,0.38,2.6407,1.9786,2215980,32125888,1654240000,1654240000,
2019-04-08 00:00:00,'603088,宁波精达,14.39,14.85,14.17,14.78,14.71,-0.32,-2.1754,2.1233,2378060,34468211,1611680000,1611680000,
2019-04-04 00:00:00,'603088,宁波精达,14.71,15.13,14.67,14.89,14.88,-0.17,-1.1425,2.1988,2462613,36450974,1647520000,1647520000,
2019-04-03 00:00:00,'603088,宁波精达,14.88,14.91,14.33,14.35,14.35,0.53,3.6934,2.7756,3108687,45529343,1666560000,1666560000,
2019-04-02 00:00:00,'603088,宁波精达,14.35,14.8,14.32,14.8,14.5,-0.15,-1.0345,1.784,1998126,28897512,1607200000,1607200000,
2019-04-01 00:00:00,'603088,宁波精达,14.5,14.56,14.13,14.13,14.11,0.39,2.764,2.0019,2242173,32378889,1624000000,1624000000,
2019-03-29 00:00:00,'603088,宁波精达,14.11,14.12,13.55,13.71,13.71,0.4,2.9176,1.2297,1377260,19180988,1580320000,1580320000,
2019-03-28 00:00:00,'603088,宁波精达,13.71,14.05,13.65,13.81,13.81,-0.1,-0.7241,0.9474,1061037,14741919,1535520000,1535520000,
2019-03-27 00:00:00,'603088,宁波精达,13.81,14.09,13.66,13.85,13.99,-0.18,-1.2866,1.1794,1320938,18302680,1546720000,1546720000,
2019-03-26 00:00:00,'603088,宁波精达,13.99,14.32,13.87,14.27,14.18,-0.19,-1.3399,1.6608,1860131,26189931,1566880000,1566880000,
2019-03-25 00:00:00,'603088,宁波精达,14.18,14.37,14.05,14.18,14.4,-0.22,-1.5278,1.4829,1660880,23588474,1588160000,1588160000,
2019-03-22 00:00:00,'603088,宁波精达,14.4,14.53,14.12,14.43,14.42,-0.02,-0.1387,1.4672,1643224,23421019,1612800000,1612800000,
2019-03-21 00:00:00,'603088,宁波精达,14.42,14.59,14.23,14.37,14.4,0.02,0.1389,1.9297,2161275,31216113,1615040000,1615040000,
2019-03-20 00:00:00,'603088,宁波精达,14.4,14.76,14.09,14.6,14.7,-0.3,-2.0408,2.8976,3245307,46665302,1612800000,1612800000,
2019-03-19 00:00:00,'603088,宁波精达,14.7,15.17,14.14,14.14,14.08,0.62,4.4034,5.3439,5985149,87900277,1646400000,1646400000,
2019-03-18 00:00:00,'603088,宁波精达,14.08,14.08,13.46,13.69,13.58,0.5,3.6819,1.7896,2004395,27832619,1576960000,1576960000,
2019-03-15 00:00:00,'603088,宁波精达,13.58,13.74,13.4,13.44,13.36,0.22,1.6467,2.3117,2589133,35128079,1520960000,1520960000,
2019-03-14 00:00:00,'603088,宁波精达,13.36,14.16,13.3,14.12,14.12,-0.76,-5.3824,2.2715,2544029,34662392,1496320000,1496320000,
2019-03-13 00:00:00,'603088,宁波精达,14.12,14.5,14.03,14.18,14.05,0.07,0.4982,3.2931,3688222,52470162,1581440000,1581440000,
2019-03-12 00:00:00,'603088,宁波精达,14.05,14.85,13.66,14,13.92,0.13,0.9339,3.6571,4095903,58122742,1573600000,1573600000,
2019-03-11 00:00:00,'603088,宁波精达,13.92,13.92,13.28,13.4,13.4,0.52,3.8806,3.0354,3399642,46203833,1559040000,1559040000,
2019-03-08 00:00:00,'603088,宁波精达,13.4,13.91,13.11,13.62,13.95,-0.55,-3.9427,3.5644,3992099,54282318,1500800000,1500800000,
2019-03-07 00:00:00,'603088,宁波精达,13.95,14.05,13.49,13.7,13.7,0.25,1.8248,3.3782,3783586,52127958,1562400000,1562400000,
2019-03-06 00:00:00,'603088,宁波精达,13.7,13.7,13.34,13.52,13.45,0.25,1.8587,3.334,3734093,50311797,1534400000,1534400000,
2019-03-05 00:00:00,'603088,宁波精达,13.45,13.49,13.14,13.3,13.33,0.12,0.9002,2.6073,2920144,38846071,1506400000,1506400000,
2019-03-04 00:00:00,'603088,宁波精达,13.33,13.73,13.2,13.49,13.35,-0.02,-0.1498,4.3917,4918747,66093960,1492960000,1492960000,
2019-03-01 00:00:00,'603088,宁波精达,13.35,13.36,13.05,13.23,13.27,0.08,0.6029,1.6297,1825236,24130046,1495200000,1495200000,
2019-02-28 00:00:00,'603088,宁波精达,13.27,13.58,13.02,13.02,13.02,0.25,1.9201,2.2469,2516545,33491627,1486240000,1486240000,
2019-02-27 00:00:00,'603088,宁波精达,13.02,13.24,12.86,13,13.03,-0.01,-0.0767,2.1377,2394184,31187042,1458240000,1458240000,
2019-02-26 00:00:00,'603088,宁波精达,13.03,13.33,12.6,12.9,12.93,0.1,0.7734,3.3004,3696422,48072953,1459360000,1459360000,
2019-02-25 00:00:00,'603088,宁波精达,12.93,12.94,12.03,12.41,12.24,0.69,5.6373,3.5502,3976184,49830325,1448160000,1448160000,
2019-02-22 00:00:00,'603088,宁波精达,12.24,12.34,11.97,12.07,12.04,0.2,1.6611,1.6492,1847075,22477451,1370880000,1370880000,
2019-02-21 00:00:00,'603088,宁波精达,12.04,12.4,12,12.15,12.12,-0.08,-0.6601,1.7317,1939520,23700456,1348480000,1348480000,
2019-02-20 00:00:00,'603088,宁波精达,12.12,12.19,12,12.15,12.12,0,0,1.2963,1451860,17577426,1357440000,1357440000,
2019-02-19 00:00:00,'603088,宁波精达,12.12,12.3,11.98,12.21,12.2,-0.08,-0.6557,1.7607,1972017,23945314,1357440000,1357440000,
2019-02-18 00:00:00,'603088,宁波精达,12.2,12.21,11.89,11.96,11.9,0.3,2.521,1.7809,1994651,24133828,1366400000,1366400000,
2019-02-15 00:00:00,'603088,宁波精达,11.9,12.04,11.84,11.9,11.9,0,0,0.8574,960311,11470252,1332800000,1332800000,
2019-02-14 00:00:00,'603088,宁波精达,11.9,11.99,11.75,11.75,11.85,0.05,0.4219,0.9478,1061569,12639086,1332800000,1332800000,
2019-02-13 00:00:00,'603088,宁波精达,11.85,11.88,11.58,11.68,11.68,0.17,1.4555,1.0689,1197202,14067409,1327200000,1327200000,
2019-02-12 00:00:00,'603088,宁波精达,11.68,11.68,11.46,11.52,11.52,0.16,1.3889,1.0282,1151616,13312082,1308160000,1308160000,
